job_title,company,url,salary_min,salary_max,requirements,source
Водитель автомобиля категории ВС,Черногоравтотранс,https://hh.ru/vacancy/89601562,0,0,наличие водительского удостоверения кат. ВС. - опыт вождения от 2-х лет.,Head Hunter
Персональный водитель,Керамакс,https://hh.ru/vacancy/92196705,150000,0,"Опыт работы персональным <highlighttext>водителем</highlighttext> от 3 лет. Комфортное вождение. Вежливость, пунктуальность. Стрессоустойчивость.",Head Hunter
Водитель персональный,Радиоавтоматика,https://hh.ru/vacancy/92190858,132000,0,"Опыт работы персональным <highlighttext>водителем</highlighttext> на автомобилях представительского класса. Хорошее знание Москвы и МО, умение составлять оптимальные маршруты передвижения. ",Head Hunter
Личный водитель,Овсянкин Илья Алексеевич,https://hh.ru/vacancy/92120675,120000,0,Опыт работы на авто премиум класса. Знание Москвы. Опыт работы в данной сфере не менее 5 лет.,Head Hunter
Персональный водитель руководителя,Российская финансовая группа,https://hh.ru/vacancy/92216208,0,120000,Никаких лицензий на охранную деятельность или оружие не требуется. Работа исключительно <highlighttext>водителем</highlighttext> (не охранник; охранника нет). Пунктуальность. Дружелюбность. Позитивный настрой.,Head Hunter
Персональный водитель руководителя,Тридевятое Царство,https://hh.ru/vacancy/92148768,150000,150000,"Опыт работы от 5 лет в должности персонального <highlighttext>водителя</highlighttext>, требуется предоставление отзывов с прошлых мест работы. Опыт вождения от 10...",Head Hunter
Персональный водитель руководителя,ХАГЕМАЕР ГРУПП,https://hh.ru/vacancy/92092800,150000,0,"Знание устройство автомобиля представительского класса. - Мобильность, готовность к командировкам. - Навыки аккуратного и безопасного вождения, навыки экстремального вождения. - Уверенное знание города...",Head Hunter
Персональный водитель генерального директора,Три Эс Груп,https://hh.ru/vacancy/92108424,0,150000,Знание дорог Москвы и МО. Обязателен опыт работы персональным <highlighttext>водителем</highlighttext> первых лиц от 5-ти лет. Опыт вождения машин премиум...,Head Hunter
Водитель семейный,ЧОП АСТГАРД,https://hh.ru/vacancy/92220023,130000,130000,"Аккуратное вождение, безаварийное. Пунктуальность. Опыт от 3 лет. Хорошее знание Москвы.",Head Hunter
Персональный водитель,Премиум Сервис,https://hh.ru/vacancy/92150722,150000,0,Знание картографии Москвы и МО. Хорошие навыки вождения. Стрессоустойчивость. Стаж вождения мин. от 5 лет. Навыки вождения на машинах премиум...,Head Hunter
Водитель-перегонщик,Авторитэйл М,https://hh.ru/vacancy/92217054,80000,120000,"Категория В, С (обязательно), D. Аккуратный стиль вождения. Образование средне-специальное. Опыт работы на перегоне не менее 3-х лет. ",Head Hunter
Водитель легкового автомобиля,Башнефтегеофизика,https://hh.ru/vacancy/92180853,120000,0,"Ответственность, знание и строгое соблюдение правил ОТ и ПБ. Права категории B. Подтвержденный стаж вождения от 2 лет. ",Head Hunter
Личный водитель легкового автомобиля,СЗ Юг Строй,https://hh.ru/vacancy/92201804,80000,0,"пунктуальность, ответственность, аккуратность, исполнительность.",Head Hunter
Персональный водитель руководителя,Алия,https://hh.ru/vacancy/92200292,50000,60000,Ответственность. Коммуникабельность. Доброжелательность.,Head Hunter
Водитель автомобиля легкового,Британская международная школа,https://hh.ru/vacancy/92223391,95000,130000,"Опыт работы <highlighttext>водителем</highlighttext> легкового автомобиля от 6 лет. Дисциплинированность, аккуратность, тактичность. Хорошее знание г. Москвы и Московской области. ",Head Hunter
Водитель офисный,СК ЭНЕРГИЯ,https://hh.ru/vacancy/92146078,60000,0,Отличное знание города и дорог Нижнего Новгорода.  Обеспечение комфортного сопровождения.  Опыт работы <highlighttext>водителем</highlighttext> от 3 лет.  Готовность к работе в...,Head Hunter
Персональный водитель руководителя,Brooklands,https://hh.ru/vacancy/92202795,100000,0,"Опыт работы от 5 лет в должности персонального <highlighttext>водителя</highlighttext>, требуется предоставление отзывов с прошлых мест работы. Опыт вождения от 10...",Head Hunter
Водитель персональный,БСК,https://hh.ru/vacancy/92184141,50000,0,"Знание общего устройства автомобиля, его технические характеристики. Пунктуальность.",Head Hunter
Водитель автомобиля легкового,Стройтранснефтегаз,https://hh.ru/vacancy/92177591,110000,120000,"Опыт работы подтвержденный по трудовой книжке от 1-го года обязателен. Наличие водительского удостоверения категорий ""В"". Опыт работы вахтовым методом...",Head Hunter
Персональный водитель (м.Фрунзенская),Сарк.Ко Л,https://hh.ru/vacancy/92189477,150000,0,Опыт работы персональным <highlighttext>водителем</highlighttext> от 5 лет! Опыт работы должен быть подтверждённым рекомендациями это запись в трудовой или номер телефон...,Head Hunter
Водитель-курьер,СберМаркет,https://kolpino.superjob.ru/vakansii/voditel-kurer-47637480.html,0,155000,"СберМаркет предлагает возможность работать/подработать водителем-курьером. Стабильный доход, район на выбор, еженедельные выплаты, удобный график от 4 часов в день, скидки от компании, брендированная униформа. СберМаркет — это доставка из магазинов и ресторанов. Мы делаем жизни миллионов людей удобнее более чем в 160 городах нашей страны. Присоединяйся к команде водителей-курьеров! Чем ты будешь заниматься • Забирать заказы на машине из магазинов и доставлять их покупателям Почему стоит откликнуться • Гарантированный доход на карту каждую неделю; • Удобный график от 4 часов в день — легко совмещать с другими занятиями, хобби или учёбой; • Точка сотрудничества в удобном для тебя районе; • Дополнительный доход за приведенного друга до 30 000 ₽; • от 5 000 ₽ до 7 000 ₽ в месяц дополнительно за оклейку автомобиля.  СберМаркет также предлагает: • Скидки на обслуживание авто и каско; • Экономию на интернет, онлайн-образование и мобильную связь; • Бесплатная подписка на онлайн-кинотеатры и участие в командных спортивных мероприятиях. Нам по пути, если… • У тебя есть телефон или планшет на базе Android или iOS. • Есть собственный автомобиль и права. • Ты готов оформить медицинскую книжку и самозанятость. Если тебя заинтересовало это предложение, откликайся и иди к своим целям вместе со СберМаркетом. Приветствуется, но необязателен опыт в смежных видах деятельности: водитель-курьер, водитель такси, персональный водитель, водитель категории В, водитель на доставку, торговый представитель, грузчик, водитель-экспедитор.",Super Job
Водитель-курьер,Лидер Консалт,https://kazan.superjob.ru/vakansii/voditel-kurer-47876703.html,133200,155400,"Требуется личный автомобиль. OОO Лидер Консалт - официальный партнер доставки Самокат приглашает к сотрудничеству автокурьеров ПРИВОДИ ДРУЗЕЙ - ПОЛУЧИ дo 20 000 РУБЛЕЙ ЗА КАЖДОГО! Приходи доставлять заказы клиентам Самоката. Обязанности: - Доставка товаров (продукты) дo ЦФЗ; - Требования минимальные: готовность к физической нагрузке и желание стабильного дохода; - Навык быстрой ориентации в пространстве, на местности; - Все заказы уже оплачены, вам необходимо только доставить заказ. Условия: - Гарантированный доход ЕЖЕНЕДЕЛЬНО; - В среднем доход автокурьера составляет 375 р в час - на руки; - Совмещай с учебой или с работой. Выбирай удобное время для доставок, интервалы от 2 до 16 часов в день; чем больше часов берешь - тем больше получаешь! Все ХАБы оборудованы WС и местом для комфортного ожидания заказов У нас ты можешь: Быстро расти! Планировать свое время! Получать доход без штрафов! Быть в команде профессионалов! Выбирать удобный тебе район!",Super Job
Водитель манипулятора,None,https://serpukhov.superjob.ru/vakansii/voditel-manipulyatora-48379794.html,100000,0,"Условия: • Работа по графику 5/2. • Оформление по трудовому кодексу РФ. • Обеспечение спецодеждой. • Работа по всей территории Московской области. Требования: • Опыт работы на краново-манипуляторной установке от 3 лет. • Неконфликтность, исполнительность, знание техники. • Водительское удостоверение категорий В, С, CЕ. • Удостоверение машиниста крана-манипулятора. Обязанности: • Перевозка строительных грузов. • Управление манипулятором при производстве строительных, монтажных и погрузочно-разгрузочных работ. • Отслеживание технического состояния техники, правильная эксплуатация, своевременное информирование о неисправностях. • Бережное отношение к вверенному имуществу, поддержание манипулятора в чистоте.",Super Job
Водитель,"Фабрика мебели ""Авангард""",https://mytischi.superjob.ru/vakansii/voditel-40959123.html,70000,80000,"Обязанности:  • Работа на автомобиле компании Газель   • Доставка, занос и сборка мебели на адресах у клиента и на фирменные салоны фабрики. • Содержание рабочего автомобиля в чистоте, контроль за техническим состоянием авто.  • Вежливость,стрессоустойчивость,грамотная речь,физическая выносливость.  • Бережное отношение и знание автомобиля. • Безаварийное вождение. • Знание Москвы и Московской обл.  • Опыт работы по доставке и сборке мебели Условия: • Корпоративная связь  • Чаевые от клиентов  • Стабильный заработок  • Фирменная униформа  • Оформление по самозанятости.График работы 5/2 выходные вс., пн.  • Ненормированный рабочий день",Super Job
Водитель-курьер,Сервис партнер Яндекс,https://habarovsk.superjob.ru/vakansii/voditel-kurer-40963520.html,0,75000,"Официальный партнер сервиса Яндекс.Еда проводит набор курьеров с ежедневными/еженедельными выплатами в Вашем городе! В связи с ростом количества заказов в сервисе в нашу команду срочно требуются пеший курьер, курьер с самокатом/велосипедом, курьер с личным автомобилем! Нужна постоянная занятость или подработка после учебы/работы? Обращайтесь к нам! Для устройства ЖМИТЕ ОТКЛИКНУТЬСЯ или пишите на WhatsApp или СМС сообщение: • ФИО • Номер телефона на котором будете работать в приложении • Город Мы в ответ СРАЗУ вышлем инструкцию и Вы сможете приступить к выполнению заказов в ближайшее время! Что мы предлагаем: • Доход до 5500₽ в день; • Выбирайте удобный район; • Выбирайте время. Доставляйте, когда есть возможность; • Стабильные выплаты на банковскую карту; • Доставляйте как удобно. На велосипеде, самокате, авто или пешком; • Официальное оформление. Чем предстоит заниматься: • Доставлять заказы из ресторанов и магазинов; • Работа с приложением, установленным на смартфон на базе Андроид или iOS; •  Заказы можно выполнять пешком, на авто, на велосипеде/самокате.  Наши преимущества: • Одна из самых высоких ставок оплаты по городу; • Гарантия дохода. Вы можете рассчитывать на гарантированный доход в час при отсутствии заказов; • Покупка еды из ресторанов со скидкой до 70%; • Скидки на велосипеды, самокаты и их ремонт от партнёров; • Приступить можно сразу после прохождения инструктажа и оформления. Для устройства ЖМИТЕ ОТКЛИКНУТЬСЯ или пишите на WhatsApp или СМС сообщение:  • ФИО • Номер телефона на котором будете работать в приложении • Город БУДЕМ РАДЫ ВИДЕТЬ В НАШЕЙ КОМАНДЕ!",Super Job
Водитель,Совхоз им. Цюрупы,https://ufa.superjob.ru/vakansii/voditel-46412610.html,0,0,"Обязанности: • Своевременная доставка груза; • Аккуратное вождение и соблюдение ПДД. Требования: • наличие категории ВС, опыт работы по перевозке зерна, семян • опыт работы на самосвалах Камаз, Зил, Газ Условия: • Своевременная выплата заработной платы, • проживание предоставляется. • Обеспеченное 3-разовое питание.",Super Job
Водитель категории E,МАН РАЙД,https://bryansk.superjob.ru/vakansii/voditel-kategorii-e-46810747.html,150000,0,"Обязанности: • Своевременная доставка груза; • Аккуратное вождение и соблюдение ПДД. Требования: • категория СЕ, работа на шторы бортовые и цементовозы  Условия: • зарплата белая • ремонт тс на сервисах • работа на шторы бортовые и цементовозы",Super Job
Водитель-курьер,Служба доставки,https://zheleznodorozhniy.superjob.ru/vakansii/voditel-kurer-46875804.html,71000,131000,"Водитель-курьер на доставку. Доставка ценных вещей, документов, писем, электроники, посылок. • Заработок 250-550 рублей в час (прилагаются доплаты, бонусы и чаевые). Зарплата ежедневно. • Дарим самокат или смартфон (ВЫБИРАЕТЕ САМИ) за отличную работу • Работа есть во всех районах города и пригороде Заказы выдаются в официальных точках складов компании, интернет-магазинах партнеров, либо от физ. лиц, имеющих договор с нашей компанией. В основном это: доставка писем, электроники, документов. • Обращения по вакансии принимаем с 6 до 22 часов без выходных Условия: • График свободный. Можно использовать как подработку в свободное время или полную занятость • Допускается совместительство с другой деятельностью (работа, учёба) • Заказы есть круглосуточно (по выходным и будням, утреннее, дневное, вечернее, ночное время) Требования: • Гражданство любое. • Курьерские поручения выполнять на легковом, грузовом авто или фургоне (каблуке) • Водительский стаж и состояние автомобиля не имеет значения Обязанности: • Находиться на смене от 2-ух часов • Используя специальное приложение компании (Android, iPhone) выполняться доставку документов, писем, легких посылок, электроники и т.д. Приветствуем опыт работы в таких компаниях доставки грузов: сдэк сдек, достависта, Почта России, Яндекс еда го go маркет, Delivery Club деливери клаб, сбермаркет, dostavista, додо, озон ozon На таких должностях как: водитель такси, курьер экспедитор, торговый представитель на личном авто ларгус, газель, транзит и т. д.",Super Job
Водитель категории D (микроавтобус),Мечел,https://vidnoe.superjob.ru/vakansii/voditel-kategorii-d-47465738.html,0,43000,"Приглашаем на работу Водителя автобуса Фольксваген Крафтер Условия: • Офис: г.Видное, Белокаменное ш., вл. 13 А (территория завода Москокс)  • График работы 2х2, с 8 до 20 • Официальное оформление в штат с 1 дня работы • Полностью белая зп, на руки 43000 руб/мес • Оплачиваемые отпуска, больничные, переработки • Стоянка на территории предприятия  Обязанности: • Основной маршрут Апаринки - метро Домодедовская - Апаринки. • Остальные маршруты по ближайшему Подмосковью и г. Москва •Перевозка сотрудников предприятия и документации; •Оформление путевой документации; • Проведение мелкого ремонта, технического обслуживания в объеме ТО-1 на а/машине;  •Своевременная постановка транспортного средства в ремонт на ТО; Требования: •Вод. удостоверение кат В, Д (С желательно); •Стаж вождения от 3-х лет, работы на автобусах не менее 1 года, спокойное вождение; •Знание Москвы и МО;",Super Job
Водитель-экспедитор на автомобиле компании,АФ Ком РУС,https://www.superjob.ru/vakansii/voditel-ekspeditor-na-avtomobile-kompanii-29032588.html,80000,120000,"Обязанности:  Доставка импортной минеральной воды (не бутыли!) до клиента по Москве и Московской обл. Получение груза на складе, экспедирование Работа с документами. Взаимодействие со складом и офисом  Отчет за проделанную работу Требования:  Хорошее знание Москвы. Опыт вождения. Вежливость. Пунктуальность и оперативность. Ответственный, исполнительный, умеющий работать в команде.  Условия:  Прямой работодатель! Погрузка/склад - ул. Никулинская д.35 стр.2 Официальное оформление. Ежеквартальные премии. График 5/2, с 09:00 до 18:00 Автомобиль Мерседес Спринтер. Размещается на территории работодателя.",Super Job
Водитель,МЕГАПОЛИС,https://kazan.superjob.ru/vakansii/voditel-47619709.html,0,45000,"На Газель ГК МЕГАПОЛИС – группа компаний, владеющая и управляющая активами в сфере логистики и дистрибуции товаров повседневного спроса (FMCG): табачная и пивобезалкогольная продукция, бакалейные товары, зажигалки, элементы питания, контрацептивы, энергетики, OTP (сигары, сигариллы, табаки). Табачной продукции с производителями Japan Tobacco International, Philip Morris International, Imperial Tobacco Group. Долгосрочный дистрибьюторский договор с производителем пивобезалкогольной продукции ОАО «Пивоваренная компания «Балтика» (Carlsberg Group). Дистрибьюторские контракты с производителями чая и кофе – Milagro Food и M.J.F. Teas (Dilmah). Дистрибьюторский контракт с производителем энергетических напитков Red Bull GmbH (Red Bull, Bullit). На данный момент в ГК Мегаполис открыта вакансия ""ВОДИТЕЛЬ-ЭКСПЕДИТОР КАТЕГОРИИ В"". ОБЯЗАННОСТИ: • Развоз товара в торговые точки, оформление необходимой документации. УСЛОВИЯ: • Оформление по ТК РФ (ежегодный оплачиваемый отпуск 28 календарных дней, оплата листка временной нетрудоспособности, соблюдение прочих гарантий по ТК РФ); • График работы: 5/2 пн-пт с 7:00-16:00 • Скидки на продукцию, медосмотры за счет компании. мотивационные программы, бонусы от партнеров. • МЫ РАДЫ БУДЕМ ВИДЕТЬ ВАС В НАШЕЙ КОМАНДЕ!",Super Job
Водитель ричтрака,Перекресток,https://nsk.superjob.ru/vakansii/voditel-richtraka-48262864.html,80000,120000,"Наши предложения: • Трудоустройство по ТК РФ в Компании 1 на рынке продуктового ритейла; • Социальный пакет; • График работы 2/2, с 9.00 до 21.00 часов (чередование дневных и ночных смен) или вахтой 14/14; • Белая заработная плата, выплата 2 раза в месяц; • Бесплатный корпоративный транспорт от г. Конаково, г. Лобня, г. Поварово, г. Клин, Зеленоград, Дмитров, Солнечногорск, Москва (м. Алтуфьево). • Бесплатное проживание в общежитии. • Ежемесячные премии-надбавки; • Возможности карьерного и профессионального роста; • Обучение в процессе работы; • Бесплатные медосмотр, униформа, обеды; • Новогодние подарки детям сотрудников, корпоративные праздники; • Ночные смены оплачиваются дополнительно; Наши ожидания: • Опыт работы от 1 года, на высотном штабелере (до 11 метров), • наличие удостоверения тракториста-машиниста с категорией грузоподъемности В, С • Знание правил и порядка хранения и складирования товарно-материальных ценностей • Ответственность, внимательность, исполнительность, умение принимать решения, умение нести ответственность Место работы: Московская область, Солнечногорский район, сельское поселение Пешковское, деревня Литвиново.",Super Job
Водитель самосвала,ЭкоПолис,https://orel.superjob.ru/vakansii/voditel-samosvala-48379867.html,50000,50000,"ТPЕБОВАHИЯ: • Опыт pабoты пo категoрии С oт 1 гoдa; • Бepeжнoе oтнoшeние к технике; УCЛOBИЯ: • График работы 2/2, 5/2, 15/15 • Водители кaтегории ВС; • Официальноe тpудоустpoйство, белая зарaботная платa; • Оплата двa paза в мecяц на карту без задержек; • Авансы; • Проживание",Super Job
"Водитель погрузчика в Гипермаркет Магнит (Екатеринбург, Краснолесья, 133)","Магнит, Розничная сеть",https://ekaterinburg.superjob.ru/vakansii/voditel-pogruzchika-v-gipermarket-magnit-48492790.html,40000,55556,"Условия: • Конкурентная, белая зарплата на карту любого банка, • Оплата больничных, оплачиваемый отпуск, соцпакет, матпомощь, • Бесплатные медосмотры и медкнижка, • Сменный график работы, • Бесплатное обучение новой профессии, • Бесплатная форма, • Награды за стаж, премии, • Дополнительная премия за квалификацию, • Корпоративные скидки и программы, • Получаешь скидки для всей семьи: от салона красоты для мамы, шиномонтажа для папы, детских развлечений для ребенка и медуслуг для дедушек и бабушек. У нас есть скидки по всей стране, не важно, в каком ты городе живешь. • Бонусы и скидки от партнёров, • Отдых в санаториях, • Новогодние подарки для детей, • А ещё, если у вас в планах переезд в другой город, вам не придется менять компанию - магазины Магнит представлены в более 4 000 городов, деревень, сёл и станиц! Обязанности: • Поднятие и спуск поддонов с товаром со стеллажного оборудования высотой 10-15 метров. Требования: • Образование не ниже полного среднего, • Права на управление погрузчиком категории В, • Приветствуется аналогичный опыт работы в сетевых компаниях.",Super Job
"Водитель, Водитель-экспедитор",РИВЬЕРА БИОТЕК,https://krasnodar.superjob.ru/vakansii/voditel-48500097.html,70000,90000,"Обязанности: • Сопровождение груза: приемка, экспедирование, сдача груза грузополучателю, оформление погрузо-разгрузочных документов. • Перевозка груза по Краснодару и командировки в Москву 1-2 раза в месяц  Требования: Условия: • Оформление по ТК РФ",Super Job
Водитель-курьер (м. Верхние Лихоборы),DOSTAЕВСКИЙ,https://www.superjob.ru/vakansii/voditel-kurer-48533462.html,132000,304000,"Присоединяйся! Мы ждем тебя.   МЫ ПРЕДЛАГАЕМ:   • Работа в крупной развивающейся компании с известным брендом.   • Молодой, дружный коллектив.   • Официальное оформление по ТК РФ, стабильная заработная плата.   • Бесплатное питание, возможность работы рядом с домом.   • График составляется по согласованию с руководителем.   • Возможен график выходного дня, вечерние подработки.   • ЗАКАЗЫ ЕСТЬ ВСЕГДА!   • ЕЖЕДНЕВНЫЕ ВЫПЛАТЫ;   • Абсолютно безопасно, не такси!   • Гарантированная оплата:   • смена от 6 часов - от 2 500   • смена от 9 часов - от 3 750   • смена от 12 часов - от 5 000   • ДЕЙСТВУЕТ АКЦИЯ ПРИВЕДИ ДРУГА И ПОЛУЧИ 3 000Р.   МЫ ОЖИДАЕМ ОТ ВАС:   • Рассматриваются водители только с ЛИЧНЫМ АВТОМОБИЛЕМ.   • Хорошее знание района города‚ в котором планируется работа.   • Аккуратность, ответственный подход к работе, вежливость.   • Умение работать в команде.   • Водительские права категории B.   ЧЕМ ВЫ БУДЕТЕ ЗАНИМАТЬСЯ:   • Принимать и проверять комплектации заказов (роллы, пицца, пироги и проч.).   • Своевременно доставлять заказы нашим клиентам.   • Бережно относится к доставляемой продукции.   • Вежливо общаться с клиентами.   • Производить расчет с клиентами (наличный и безналичный).   Подойдёт, кто ищет: автокурьер с ежедневной оплатой, автокурьер подработка, работа автокурьером, яндекс автокурьер, прямой работодатель, свободный график, гибкий график, подработка вечер, вечерняя подработка, подработка в вечернее время, автокурьер выходного дня, работа выходные, доставка товаров, подработка на выходные, доставщик, работа доставщиком, яндекс доставщик яндекс еда, яндекс лавка, яндекс про, яндекс маркет, сбермаркет, деливери клаб, delivery club, dostavista, достависта, автокурьер додо, достависта, озон, сдек, автокурьер ВкусВилл, Самокат, доставка документов посылок, устроиться автокурьером, работа в районе, автокурьер с ежедневной оплатой, подработка с ежедневными выплатами, работа рядом с домом, без опыта, оплата каждый день, оплата сразу, водитель, в утреннее время, в дневное время, работа доставка автокурьером, удобный график, начинающий специалист, работа на выходные   Зарплатная вилка указана с учетом продолжительности смены от 12 часов.",Super Job
Водитель,Собиратор,https://www.superjob.ru/vakansii/voditel-48534215.html,90000,120000,"•  Требуемый опыт работы: 1–3 года Полная занятость, гибкий график Возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП Собиратор — это экологическая компания, которая участвует в создании инфраструктуры раздельного сбора вторсырья. Экомобиль — важный отдел, который помогает людям сдавать вторсырье на переработку, если у них нет возможности приехать в Экоцентр или посетить районные волонтерские акции. Мы набираем Экомобильмэнов Чем предстоит заниматься: ️ забирать вторсырье из домов и офисов по сформированному логистом маршруту; ️ сверять содержимое со списком Собиратора; ️ отвечать на вопросы клиентов при необходимости; ️ отгружать собранное вторсырье в наш Экоцентр по адресу: Москва, Кавказский бульвар, 56 стр.12. ️ Заявки заранее оплачены — водителю не нужно принимать никаких оплат и документов. ️ Маршрут накануне выезда индивидуально подбирает логист. Наш идеальный кандидат: ️ готов использовать личный грузовой автомобиль для перевозки больше 6 кубометров грузов; ️ может заезжать на автомобиле в центр Москвы; ️ способен оставаться вежливым и профессиональным при любых обстоятельствах; ️ готов к физическим нагрузкам; ️ ответственный, открытый к диалогу и оптимистичный человек. Что мы предлагаем: ️ гибкий график работы, возможность планировать свои рабочие смены самостоятельно; ️ стоимость вывоза для водителя от 715 р. с заявки (средняя заработная плата 140 тыс.); ️ позитивный коллектив и всегда готовый к диалогу руководитель; ️ выплаты 2 раза в месяц. Сумма ежемесячных выплат зависит только от вас, сколько вы готовы брать заказов ежедневно. Рассматриваем разные районы работы для водителя.",Super Job
Водитель тягача портового (с обучением),Кадрофф,https://spb.superjob.ru/vakansii/voditel-tyagacha-portovogo-47452587.html,5000,0,"В Крупнейший Порт Санкт-Петербурга, расположенный в г.Ломоносов требуются Водители Тягача Портового (Стажируем!) Водитель АП Обязанности: • Перемещение морских контейнеров с причала в зону таможенного досмотра, перетарки и тд на территории порта Бронка(Тягач-категория D). Требования: • Права тракториста-машиниста с открытой категорией D. • Опыт работы на тягаче портовом от года или готовность пройти обучение/стажировку в порту Санкт-Петербурга(Автово) Условия: • Оформление пор ТК РФ. • Сменный график работы.(дневные и ночные смены) • График работы портовый (2 день,1вых, 2 ночь,3 выходных). • Форма и обувь по сезону, медосмотр, пропуск на территорию порта-за счет работодателя. • Компенсация Проезда 400 рублей • ТТС 4910 р/смена день чистыми на руки(с учетом проезда) • ТТС 5075 р/ смена ночь чистыми на руки(С Учетом проезда) • 2/2 ОТ 75000 р/месяц • 5/2 От 120000 р/месяц. • Официальное оформление, выплаты на карту 3 раза в месяц без задержек. • На территории Контейнерного терминала имеются модули для приема пищи и отдыха, душевые, раздевалки, Недорогая столовая для сотрудников. Спешите!Количество мест ограничено!",Super Job
Водитель категории С (График 6/1),Розмет,https://www.superjob.ru/vakansii/voditel-kategorii-s-47373976.html,150000,200000,"Компания ""Розмет"" на рынке с 2007 года и занимается продажей металлопроката оптом и в розницу. Наша компания производит поставки металла на крупнейшие объекты Москвы. Открыта вакансия Водитель с категорией С на манипулятор (График 6/1, НЕ ВАХТА) Обязанности: - Перевозка и экспедирование грузов по г. Москве и Московской области. - Работа с транспортной документацией. - Контроль технического состояния ТС (ТО авто производится за счет компании на авторизированном сервисе). - Погрузкой и разгрузкой Водитель не занимается. Условия: - Оформление по ТК РФ. - Заработная плата 2 раза в месяц без задержек - График работы 6/1 - Адекватное руководство.",Super Job
Водитель погрузчика,ANCOR,https://nsk.superjob.ru/vakansii/voditel-pogruzchika-48404964.html,55000,0,"В связи с увеличением объемов производства в крупную производственную компанию открыта вакансию Водитель погрузчика. Мы предлагаем: • Трудоустройство в соответствии с ТК РФ, в штат компании АО ""Вимм-Билль-Данн"", постоянная ставка. • Стабильная заработная плата, выплата 2 раза в месяц; • График работы сменный: 2 день/2 ночь/4 выходных, с 8.00 до 20.00, с 20.00 до 8.00; • Корпоративный транспорт от м. Маркса, Северо-Чемской мкр-н, п.Верх-Тула; • Медицинская комиссия за счет работодателя; • Бесплатная спецодежда, ДМС, страхование жизни; • Ежегодная индексация заработной платы; • Оплата больничных и отпусков; Горячее питание за счет компании для сотрудников, работающих в ночные смены. Задачи: • Управление погрузчиком при погрузке, выгрузке, спуске, подъеме различных грузов. Требования: • Опыт работы со стеллажным оборудованием приветствуется (3-х ярусное хранение); • Опыт работы на погрузчике от 1 года; • Наличие удостоверения тракториста-машиниста (в особых отметках – водитель погрузчика) категории В – электропогрузчик, категория ВС – дополнительно автопогрузчик; • Готовность к работе на холодном складе +2, +4 (спецодежду выдаем).",Super Job
